"","Quarter","Gender","Age (bands and single year)","National - Regional - LA - OAs","Duration of Claim","Client type","value"
"1","Aug-03","Male","Under 18","E00024278","Up to 3 months","Children",0
"2","Nov-03","Male","Under 18","E00024278","Up to 3 months","Children",0
"3","Feb-04","Male","Under 18","E00024278","Up to 3 months","Children",0
"4","May-04","Male","Under 18","E00024278","Up to 3 months","Children",0
"5","Aug-04","Male","Under 18","E00024278","Up to 3 months","Children",0
"6","Nov-04","Male","Under 18","E00024278","Up to 3 months","Children",0
"7","Feb-05","Male","Under 18","E00024278","Up to 3 months","Children",0
"8","May-05","Male","Under 18","E00024278","Up to 3 months","Children",0
"9","Aug-05","Male","Under 18","E00024278","Up to 3 months","Children",0
"10","Nov-05","Male","Under 18","E00024278","Up to 3 months","Children",0
"11","Feb-06","Male","Under 18","E00024278","Up to 3 months","Children",0
"12","May-06","Male","Under 18","E00024278","Up to 3 months","Children",0
"13","Aug-06","Male","Under 18","E00024278","Up to 3 months","Children",0
"14","Nov-06","Male","Under 18","E00024278","Up to 3 months","Children",0
"15","Feb-07","Male","Under 18","E00024278","Up to 3 months","Children",0
"16","May-07","Male","Under 18","E00024278","Up to 3 months","Children",0
"17","Aug-07","Male","Under 18","E00024278","Up to 3 months","Children",0
"18","Nov-07","Male","Under 18","E00024278","Up to 3 months","Children",0
"19","Feb-08","Male","Under 18","E00024278","Up to 3 months","Children",0
"20","May-08","Male","Under 18","E00024278","Up to 3 months","Children",0
"21","Aug-08","Male","Under 18","E00024278","Up to 3 months","Children",0
"22","Nov-08","Male","Under 18","E00024278","Up to 3 months","Children",0
"23","Feb-09","Male","Under 18","E00024278","Up to 3 months","Children",0
"24","May-09","Male","Under 18","E00024278","Up to 3 months","Children",0
"25","Aug-09","Male","Under 18","E00024278","Up to 3 months","Children",0
"26","Nov-09","Male","Under 18","E00024278","Up to 3 months","Children",0
"27","Feb-10","Male","Under 18","E00024278","Up to 3 months","Children",0
"28","May-10","Male","Under 18","E00024278","Up to 3 months","Children",0
"29","Aug-10","Male","Under 18","E00024278","Up to 3 months","Children",0
"30","Nov-10","Male","Under 18","E00024278","Up to 3 months","Children",0
"31","Feb-11","Male","Under 18","E00024278","Up to 3 months","Children",0
"32","May-11","Male","Under 18","E00024278","Up to 3 months","Children",0
"33","Aug-11","Male","Under 18","E00024278","Up to 3 months","Children",0
"34","Nov-11","Male","Under 18","E00024278","Up to 3 months","Children",0
"35","Feb-12","Male","Under 18","E00024278","Up to 3 months","Children",0
"36","May-12","Male","Under 18","E00024278","Up to 3 months","Children",0
"37","Aug-12","Male","Under 18","E00024278","Up to 3 months","Children",0
"38","Nov-12","Male","Under 18","E00024278","Up to 3 months","Children",0
"39","Feb-13","Male","Under 18","E00024278","Up to 3 months","Children",0
"40","May-13","Male","Under 18","E00024278","Up to 3 months","Children",0
"41","Aug-13","Male","Under 18","E00024278","Up to 3 months","Children",0
"42","Nov-13","Male","Under 18","E00024278","Up to 3 months","Children",0
"43","Feb-14","Male","Under 18","E00024278","Up to 3 months","Children",0
"44","May-14","Male","Under 18","E00024278","Up to 3 months","Children",0
"45","Aug-14","Male","Under 18","E00024278","Up to 3 months","Children",0
"46","Nov-14","Male","Under 18","E00024278","Up to 3 months","Children",0
"47","Feb-15","Male","Under 18","E00024278","Up to 3 months","Children",0
"48","May-15","Male","Under 18","E00024278","Up to 3 months","Children",0
"49","Aug-15","Male","Under 18","E00024278","Up to 3 months","Children",0
"50","Nov-15","Male","Under 18","E00024278","Up to 3 months","Children",0
"51","Feb-16","Male","Under 18","E00024278","Up to 3 months","Children",0
"52","May-16","Male","Under 18","E00024278","Up to 3 months","Children",0
"53","Aug-16","Male","Under 18","E00024278","Up to 3 months","Children",0
"54","Nov-16","Male","Under 18","E00024278","Up to 3 months","Children",0
"55","Feb-17","Male","Under 18","E00024278","Up to 3 months","Children",0
"56","May-17","Male","Under 18","E00024278","Up to 3 months","Children",0
"57","Aug-17","Male","Under 18","E00024278","Up to 3 months","Children",0
"58","Nov-17","Male","Under 18","E00024278","Up to 3 months","Children",0
"59","Feb-18","Male","Under 18","E00024278","Up to 3 months","Children",0
"60","Aug-03","Female","Under 18","E00024278","Up to 3 months","Children",0
"61","Nov-03","Female","Under 18","E00024278","Up to 3 months","Children",0
"62","Feb-04","Female","Under 18","E00024278","Up to 3 months","Children",0
"63","May-04","Female","Under 18","E00024278","Up to 3 months","Children",0
"64","Aug-04","Female","Under 18","E00024278","Up to 3 months","Children",0
